Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Forest Gate),"39A Woodgrange Road, Forest Gate, London, E7 8BA",Forest Gate,E7 8BA,51.5475544,0.0250478
Greggs (Forest Hill),"163-165 Stanstead Road, Forest Hill, London, SE23 1HP",Forest Hill,SE23 1HP,51.44239,-0.04347
Greggs (Fulham),"411 North End Road, Fulham, London, SW6 1NS",Fulham Broadway,SW6 1NS,51.4827668,-0.2002569
Greggs (Fitzrovia),"2, The Qube, 101-106 Tottenham Court Road, Fitzrovia, London, W1T 4EZ",Goodge Street,W1T 4EZ,51.5223299,-0.13704
Greggs (Enfield Town),"308 Baker Street, Enfield Town, Enfield, EN1 3LD",Gordon Hill,EN1 3LD,51.66213,-0.07883
Greggs (Marylebone),"111 Great Portland Street, Marylebone, London, W1W 6QQ",Great Portland Street,W1W 6QQ,51.51975,-0.14281
Greggs (Hackney),"387 Mare Street, Hackney, London, E8 1HY",Hackney Central,E8 1HY,51.5484086,-0.0553211
Greggs (Hainault),"197 Manford Way, Hainault, Chigwell, IG7 4DJ",Hainault,IG7 4DJ,51.6083102,0.1073044
Greggs (Hammersmith),"129 King Street, Hammersmith, London, W6 9JG",Hammersmith (District),W6 9JG,51.4924627,-0.2296205
Greggs (Hammersmith),"35b, Hammersmith Broadway Shopping Centre, Hammersmith Broadway, Hammersmith, London, W6 9YD",Hammersmith (District),W6 9YD,51.4920207,-0.2240387
Greggs (Kingston),"430 Richmond Road, Kingston, Kingston Upon Thames, KT2 5PU",Hampton Wick,KT2 5PU,51.4308288,-0.3067785
Greggs (West Ealing),"A, Ealing Hosptial, Addington Close, West Ealing, Southall, UB2 4GB",Hanwell,UB2 4GB,51.50809,-0.34767
Greggs (Town Centre),"4 Farnham Road, Town Centre, Romford, RM3 8DX",Harold Wood,RM3 8DX,51.6063761,0.2187516
Greggs (Harringay),"4a, The Arena Shopping Park, Green Lanes, Harringay, London, N4 1ED",Harringay Green Lanes,N4 1ED,51.5763427,-0.0969963
Greggs (),"51 St. Ann's Road, Harrow, HA1 1JU",Harrow-on-the-Hill,HA1 1JU,51.5814217,-0.3338207
Greggs (Harlington),"Shepiston Lane, Harlington, Hayes, UB3 1LL",Hayes & Harlington,UB3 1LL,51.49438,-0.4316736
Greggs (Hayes),"25 Station Road, Hayes, Hayes, UB3 4BD",Hayes & Harlington,UB3 4BD,51.506664,-0.4186234
Greggs (Town Centre),"Unit 4, The Arena, Town Centre, Uxbridge, UB11 1AA",Hayes & Harlington,UB11 1AA,51.5123444,-0.4447318
Greggs (Town Centre),"382 Staines Road, Town Centre, Feltham, TW14 8BT",Heathrow Terminal 4,TW14 8BT,51.4534738,-0.4301851
Greggs (Stanwell),"Heathrow Airport External, Southern Perimeter Road, Stanwell, Hounslow, TW6 3PF",Heathrow Terminal 5,TW6 3PF,51.46126,-0.48185
Greggs (Hendon),"The Burroughs, Hendon, London, NW4 4BT",Hendon Central,NW4 4BT,51.5897688,-0.2292049
Greggs (Canary Wharf),"11, Canary Wharf Shopping Centre, Cabot Place East, Canary Wharf, London, E14 4QS",Heron Quays,E14 4QS,51.5050235,-0.0204937
Greggs (Barnet),"134 High Street, Barnet, Barnet, EN5 5XQ",High Barnet,EN5 5XQ,51.6547007,-0.2014918
Greggs (Chingford),"4 Albert Crescent, Chingford, London, E4 6SH",Highams Park,E4 6SH,51.6171593,-0.0184893
Greggs (Town Centre),"370 Long Lane, Town Centre, Uxbridge, UB10 9PG",Hillingdon,UB10 9PG,51.5510005,-0.4487394
Greggs (Holborn),"60 Kingsway, Holborn, London, WC2B 6DS",Holborn,WC2B 6DS,51.516537,-0.1193712
Greggs (),"181 High Street, Hounslow, TW3 1BL",Hounslow Central,TW3 1BL,51.4687616,-0.3618105
Greggs (Town Centre),"8 , Trinity Parade, High Street, Town Centre, Hounslow, TW3 1HG",Hounslow Central,TW3 1HG,51.46867,-0.36386
Greggs (Town Centre),"Junction 2/3, M4, Town Centre, Hounslow, TW5 9NB",Hounslow West,TW5 9NB,51.4881812,-0.3954155
Greggs (Town Centre),"209 High Road, Town Centre, Ilford, IG1 1LX",Ilford,IG1 1LX,51.5597002,0.0758016
Greggs (Town Centre),"15 Chapel Road, Town Centre, Ilford, IG1 2AF",Ilford,IG1 2AF,51.55784,0.07033
Greggs (Camberwell),"96-106 Camberwell Road, Camberwell, London, SE5 0EG",Kennington,SE5 0EG,51.4816999,-0.095
Greggs (Walworth),"273 Walworth Road, Walworth, London, SE17 1RL",Kennington,SE17 1RL,51.4888113,-0.0958805
Greggs (Kentish Town),"311 Kentish Town Road, Kentish Town, London, NW5 2TJ",Kentish Town,NW5 2TJ,51.5507823,-0.1412408
Greggs (Hampstead & West Hampstead),"79 Kilburn High Road, Hampstead & West Hampstead, London, NW6 6JE",Kilburn High Road,NW6 6JE,51.5380442,-0.1938212
Greggs (King's Cross),"M5, King's Cross Western Concourse, Euston Road, King's Cross, London, N1C 4AP",King's Cross St. Pancras,N1C 4AP,51.5319524,-0.1239807
Greggs (King's Cross),"61b, St. Pancras International Station, Euston Road, King's Cross, London, N1C 4QL",King's Cross St. Pancras,N1C 4QL,51.531333,-0.1263573
Greggs (King's Cross),"17b, St. Pancras International Station, Euston Road, King's Cross, London, N1C 4QL",King's Cross St. Pancras,N1C 4QL,51.531333,-0.1263573
Greggs (Kingsbury),"461 Kingsbury Road, Kingsbury, London, NW9 9DY",Kingsbury,NW9 9DY,51.58568,-0.27615
Greggs (Kingston),"28 Market Place, Kingston, Kingston Upon Thames, KT1 1JH",Kingston,KT1 1JH,51.4096763,-0.3058421
Greggs (Town Centre),"14 Castle Street, Town Centre, Kingston Upon Thames, KT1 1SS",Kingston,KT1 1SS,51.4120687,-0.3008976
Greggs (Notting Hill),"238 Portobello Road, Notting Hill, London, W11 1LJ",Ladbroke Grove,W11 1LJ,51.5172982,-0.2058874
Greggs (Lambeth),"82 Lower Marsh, Lambeth, London, SE1 7AB",Lambeth North,SE1 7AB,51.5013962,-0.1117743
Greggs (Waterloo),"93 Lower Marsh, Waterloo, London, SE1 7AB",Lambeth North,SE1 7AB,51.5013962,-0.1117743
Greggs (Millwall),"16 Market Square, Millwall, London, E14 6AQ",Langdon Park,E14 6AQ,51.5126067,-0.0147315
Greggs (Chinatown),"1-2 Leicester Square, Chinatown, London, WC2H 7NA",Leicester Square,WC2H 7NA,51.5108762,-0.1306711
Greggs (Lewisham),"13 Lewisham Centre, Lewisham, London, SE13 7EP",Lewisham,SE13 7EP,51.4619768,-0.0113402
Greggs (Lewisham),"114 Lewisham High Street, Lewisham, London, SE13 6JG",Lewisham,SE13 6JG,51.4617982,-0.0108299
Greggs (Spitalfields),"83 Old Broad Street, Spitalfields, London, EC2M 1PR",Liverpool Street,EC2M 1PR,51.517025,-0.0834517
Greggs (Spitalfields),"154 Bishopsgate, Spitalfields, London, EC2M 4LN",Liverpool Street,EC2M 4LN,51.51703,-0.08064
Greggs (Spitalfields),"48, Liverpool Street Station Main Concourse, Liverpool Street, Spitalfields, London, EC2M 7PY",Liverpool Street,EC2M 7PY,51.5180024,-0.0818635
Greggs (),"SU45, London Bridge Station, Tooley Street, London, SE1 9SP",London Bridge,SE1 9SP,51.5048825,-0.0855789
Greggs (The City),"3, Bow Bells House, Cheapside, The City, London, EC2V 6AU",Mansion House,EC2V 6AU,51.5137843,-0.0936015
Greggs (Paddington),"12, Marylebone Railway Station, Melcombe Place, Paddington, London, NW1 6JJ",Marylebone,NW1 6JJ,51.5227262,-0.163403
Greggs (Greenwich),"182 Trafalgar Road, Greenwich, London, SE10 9TZ",Maze Hill,SE10 9TZ,51.4849309,0.004426
Greggs (Mill Hill),"44 The Broadway, Mill Hill, London, NW7 3LH",Mill Hill Broadway,NW7 3LH,51.6146942,-0.2468015
Greggs (Mitcham),"702-712 Mitcham Road, Mitcham, Croydon, CR0 3AB",Mitcham Junction,CR0 3AB,51.3901899,-0.13202
Greggs (The City),"3 Eastcheap, The City, London, EC3M 1AG",Monument,EC3M 1AG,51.51082,-0.0853899
Greggs (),"Sandy Lane, Northwood, HA6 2HU",Moor Park,HA6 2HU,51.6316015,-0.4159465
Greggs (The City),"4, 74-78 Finsbury Pavement, The City, London, EC2A 1AT",Moorgate,EC2A 1AT,51.52,-0.08716
Greggs (Morden),"54 London Road, Morden, Morden, SM4 5BE",Morden,SM4 5BE,51.4026663,-0.1939396
Greggs (New Addington),"33 Central Parade, New Addington, Croydon, CR0 0JD",New Addington,CR0 0JD,51.3409701,-0.0140181
